Name			 Reference link			 Bio			 Courses Taught

Name:Gail-Joon Ahn			 Link:https://isearch.asu.edu/profile/1258895			 Bio:Gail-Joon Ahn is a professor of computer science and engineering in the School of Computing and Augmented Intelligence at Arizona State University. He has authored more than 200 refereed research papers. Prior to joining ASU, he was an associate professor of the College of Computing and Informatics and founding director of Center for Digital Identity and Cyber Defense Research at University of North Carolina at Charlotte. His research foci include security analytics and big data driven security intelligence, vulnerability and risk management, access control and security architecture for distributed systems, identity and privacy management, cyber crime analysis, security-enhanced computing platforms, and formal models for computer security device. His research has been supported by National Science Foundation, National Security Agency, Department of Defense, Office of Naval Research, Department of Energy, Department of Justice, Allstate, Intel, Bank of America, CISCO, GoDaddy, Hewlett Packard, Google, Microsoft and Robert Wood Johnson Foundation. He is currently the information director of ACM Special Interest Group on Security, Audit and Control (SIGSAC) and he is a recipient of U.S. Department of Energy Early Career Principal Investigator Award, Educator of the Year Award from Federal Information Systems Security Educators' Association (FISSEA) and Best Researcher Award from CIDSE. Also, he serves as associate editor-in-chief of IEEE Transactions on Dependable and Secure Computing, associate editor of ACM Transactions on Information and Systems Security and editorial board of Computers & Security. He is also the Steering Committee chair of ACM Symposium on Access Control Models and Technologies and the general chair of ACM Conference on Computer and Communications Security (CCS 2014). 			Course Taught:CSE 584Internship, CSE 493Honors Thesis, CEN 799Dissertation, CSE 590Reading and Conference, CSE 492Honors Directed Study, CSE 790Reading and Conference, Course NumberCourse Title, CEN 795Continuing Registration, CEN 580Practicum, CSE 599Thesis, CEN 584Internship, CSE 792Research, CSE 799Dissertation, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CEN 792Research
Name:Robert Atkinson			 Link:https://isearch.asu.edu/profile/506050			 Bio:Associate Professor Robert Atkinson holds a joint appointment in the School of Computing and Augmented Intelligence in the Ira A. Schools of Engineering and the Division of Educational Leadership and Innovation in the Mary Lou Fulton Teacher’s College. He earned an Applied Cognitive Science doctorate in 1999 from University of Wisconsin, Madison with a minor in statistics and research design. He joined the ASU faculty in 2002 as an assistant professor after teaching for three years at Mississippi State University.			Course Taught:CSE 493Honors Thesis, EDT 584Internship, SER 463Intro Human Computer Interactn, EDT 780Practicum, CSE 792Research, EDT 684Internship, DCI 799Dissertation, CPI 360Decision Making & Problem Solv, ASU 101-CAIThe ASU Experience, EDT 580Practicum, CSE 492Honors Directed Study, EDT 590Reading and Conference, CPI 101Introduction to Informatics, CEN 599Thesis, CSE 599Thesis, CSE 499Individualized Instruction, CSE 590Reading and Conference, CSE 180Computer Literacy, EDT 790Reading and Conference, CSE 580Practicum, EDT 799Dissertation, CSE 463Intro Human Computer Interactn, CSE 595Continuing Registration, CSE 790Reading and Conference, Course NumberCourse Title, EDT 690Reading and Conference, EDP 792Research, DCI 790Reading and Conference, CEN 590Reading and Conference, ASU 101-CSEThe ASU Experience, CSE 301Computing Ethics, EDT 792Research, CPI 350Eval of Informatics Systems, EDT 784Internship
Name:Janaka Balasooriya			 Link:https://isearch.asu.edu/profile/1097689			 Bio:Janaka Balasooriya joined ASU 2007. Prior to joining ASU, Balasooriya was a postdoctoral fellow at Missouri University of Science and Technology (formally known as University of Missouri, Rolla). He has several years of industry experience as a Software Engineer. His research interests span in the areas of distributed computing and software engineering that incudes service oriented computing, cloud computing and software testing. 			Course Taught:CSE 493Honors Thesis, CSE 598Special Topics, CSE 360Intro to Software Engineering, CSE 205Object-Oriented Program & Data, CSE 460Software Analysis and Design, ASU 101-CAIThe ASU Experience, CSE 240Intro to Programming Languages, CSE 492Honors Directed Study, CSE 445Distributed Software Developmt, SER 464Software QA and Testing, CEN 580Practicum, CSE 599Thesis, CSE 499Individualized Instruction, CSE 593Applied Project, CSE 590Reading and Conference, CSE 100Prin of Programming with C++, SER 580Practicum, CSE 580Practicum, CSE 464Software QA and Testing, CSE 790Reading and Conference, CSE 310Data Structures and Algorithms, Course NumberCourse Title, ASU 101-CSEThe ASU Experience, CSE 595Continuing Registration, SER 460Software Analysis and Design, CSE 335Princ of Mobile App Dev
Name:Tiffany Bao			 Link:https://isearch.asu.edu/profile/3322259/			 Bio:Tiffany Bao is an Assistant Professor in the School of Computing and Augmented Intelligence and Associate Director of Research Acceleration at the Center for Cybersecurity and Trusted Foundations. Her research focuses on cyber autonomy, and her work spans the areas of binary analysis techniques and game-theoretical strategy. She's the recipient of the Carnegie Mellon University Presidential Fellowship and NSA's Best Scientific Cybersecurity Paper. She received her doctorate from Carnegie Mellon University.			Course Taught:CSE 584Internship, CSE 493Honors Thesis, CSE 492Honors Directed Study, CSE 590Reading and Conference, CSE 545Software Security, CSE 790Reading and Conference, Course NumberCourse Title, CSE 599Thesis, CSE 499Individualized Instruction, CSE 466Computer Systems Security, CSE 591Seminar, CSE 365Information Assurance, CSE 792Research, CSE 799Dissertation, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration
Name:Chitta Baral			 Link:https://isearch.asu.edu/profile/231973			 Bio:Chitta Baral is a professor in the School of Computing and Augmented Intelligence in the Ira A. Fulton Schools of Engineering at Arizona State University. Chitta joined ASU in 1999 as an associate professor, becoming a professor in 2002. Prior to ASU, he served as an assistant and associate professor with the University of Texas at El Paso (Sept 1991 - August 1999). Chitta did his B.Tech in Computer Science & Engineering at IIT Kharagpur and his Masters and PhD in Computer Science at the University of Maryland, College Park.  He directs the laboratory of Cognition and Intelligence at ASU. His research focus is in various areas of Artificial Intelligence (AI). Chitta is the author of the book "Knowledge Representation, Reasoning and Declarative Problem Solving" published by Cambridge University Press. Chitta has been an Associate Editor of Journal of AI Research and the AI Journal, among the two top journals in the field of AI. Chitta is a past President of KR Inc, a not for profit Scientific Foundation concerned with fostering research and communication on knowledge representation and reasoning. He is a member of AAAI, the Association for the Advancement of AI and has published regularly in the annual conferences of AAAI. Chitta was a Research Affiliate at Mayo Clinic and continues collaboration with them. Chitta's current research focus in on cognition and intelligence; in particular on understanding natural language, visual objects, and multi-modal documents; using knowledge in that understanding; and applying that understanding to cybersecurity, robotics and biological and health sciences.			Course Taught:CSE 493Honors Thesis, CEN 799Dissertation, CSE 576Topics/Natural Language Proc, CSE 492Honors Directed Study, CEN 580Practicum, CSE 599Thesis, CEN 584Internship, CSE 590Reading and Conference, CEN 790Reading and Conference, CEN 795Continuing Registration, CSE 355Intro Theoretical Computer Sci, SER 599Thesis, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, CSE 790Reading and Conference, Course NumberCourse Title, CSE 591Seminar, CSE 792Research, CSE 799Dissertation, CEN 792Research
Name:Robert Barnhill			 Link:https://isearch.asu.edu/profile/42976			 Bio:			Course Taught:
Name:Rida Bazzi			 Link:https://isearch.asu.edu/profile/15427			 Bio:Rida Bazzi joined ASU in 1996. He is an associate professor in the School of Computing and Augmented Intelligence at Arizona State University. Prior to ASU, he served as an assistant professor at Florida International University in the 1995-1996 academic year and prior to that he was a senior consultant at I-Cube, a startup company in Cambridge, Massachusetts. His areas of expertise include distributed computing, fault tolerance and computer security. 			Course Taught:CSE 493Honors Thesis, CSE 584Internship, CSE 598Special Topics, CSE 492Honors Directed Study, CSE 590Reading and Conference, CSE 790Reading and Conference, CSE 340Principles of Programming Lang, Course NumberCourse Title, CSE 792Research, CSE 539Applied Cryptography, CSE 355Intro Theoretical Computer Sci, CSE 599Thesis, CSE 499Individualized Instruction, CSE 595Continuing Registration, CSE 799Dissertation, ASU 101-CAIThe ASU Experience, CSE 580Practicum, CSE 795Continuing Registration
Name:Heni Ben Amor			 Link:https://isearch.asu.edu/profile/2736878			 Bio:Heni Ben Amor, an assistant professor, was previously a research scientist at Georgia Tech’s Institute for Robotics and Intelligent Machines, where he led a project to improve robots for future applications in industrial settings, especially manufacturing. Prior to moving to Georgia Tech, Ben Amor worked with Jan Peters at the Technical University Darmstadt as a postdoctoral scholar. Ben Amor’s research topics focus on artificial intelligence, machine learning, human-robot interaction, robot vision, and automatic motor skill acquisition. He received the highly competitive Daimler-and-Benz Fellowship as well as several best paper awards at major robotics and AI conferences. He also serves on the program committee of various AI and robotics conferences, including AAAI, IJCAI, IROS, and ICRA.			Course Taught:CSE 493Honors Thesis, CSE 598Special Topics, CEN 799Dissertation, EEE 790Reading and Conference, EEE 592Research, EEE 595Continuing Registration, EEE 795Continuing Registration, CSE 492Honors Directed Study, PHY 799Dissertation, EEE 599Thesis, CEN 599Thesis, EEE 792Research, CEN 580Practicum, CSE 599Thesis, CSE 499Individualized Instruction, CSE 590Reading and Conference, CEN 790Reading and Conference, CSE 494Special Topics, CSE 355Intro Theoretical Computer Sci, PHY 584Internship, EEE 590Reading and Conference, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, CSE 790Reading and Conference, Course NumberCourse Title, CEN 590Reading and Conference, EEE 799Dissertation, CSE 591Seminar, CSE 792Research, CEN 595Continuing Registration, CSE 799Dissertation, CSE 571Artificial Intelligence, CEN 792Research
Name:Dimitri Bertsekas			 Link:https://isearch.asu.edu/profile/3410924/			 Bio:Dimitri P. Bertsekas was awarded the INFORMS 1997 Prize for Research Excellence in the Interface Between Operations Research and Computer Science for his book "Neuro-Dynamic Programming", the 2000 Greek National Award for Operations Research, the 2001 ACC John R. Ragazzini Education Award, the 2009 INFORMS Expository Writing Award, the 2014 ACC Richard E. Bellman Control Heritage Award for "contributions to the foundations of deterministic and stochastic optimization-based methods in systems and control," the 2014 Khachiyan Prize for Life-Time Accomplishments in Optimization, and the SIAM/MOS 2015 George B. Dantzig Prize. In 2018, he was awarded, jointly with his coauthor John Tsitsiklis, the INFORMS John von Neumann Theory Prize, for the contributions of the research monographs "Parallel and Distributed Computation" and "Neuro-Dynamic Programming". In 2001, he was elected to the United States National Academy of Engineering for "pioneering contributions to fundamental research, practice and education of optimization/control theory, and especially its application to data communication networks." His current work focuses on reinforcement learning, artificial intelligence, optimization, linear and nonlinear programming, data communication networks, parallel and distributed computation. Bertsekas has held faculty positions with the Engineering-Economic Systems Dept., Stanford University (1971-1974) and the Electrical Engineering Dept. of the University of Illinois, Urbana (1974-1979). Since 1979 he has been at the Electrical Engineering and Computer Science Department of the Massachusetts Institute of Technology (M.I.T.), where he is currently McAfee Professor of Engineering. In 2019, he was also appointed Fulton Chair of Computational Decision Making at the School of  Computing and Augmented Intelligence at Arizona State University, Tempe, while maintaining a research position at MIT. His research spans several fields, including optimization, control, large-scale computation, and data communication networks, and is closely tied to his teaching and book authoring activities. He has written numerous research papers, and seventeen books and research monographs, several of which are used as textbooks in MIT classes. Bertsekas' recent books are "Introduction to Probability: 2nd Edition" (2008), "Convex Optimization Theory" (2009), "Dynamic Programming and Optimal Control," Vol. I, (2017), and Vol. II: (2012), "Abstract Dynamic Programming" (2018), "Convex Optimization Algorithms" (2015), and "Reinforcement Learning and Optimal Control" (2019), all published by Athena Scientific.			Course Taught:CSE 599Thesis, Course NumberCourse Title, CSE 580Practicum, CSE 691Seminar
